Date,Open,High,Low,Close,Volume,Adj Close
2015-09-01,86.849998,95.510002,86.50,94.400002,33072700,94.400002
2015-08-03,93.529999,98.739998,72.00,89.43,34941100,89.43
2015-07-01,86.769997,99.239998,85.230003,94.010002,36804900,94.010002
2015-06-01,79.300003,89.400002,78.660004,85.769997,25323600,85.769997
2015-05-01,79.239998,81.849998,76.790001,79.190002,21732500,79.190002
2015-04-01,82.50,85.589996,78.32,78.769997,27189700,78.769997
2015-03-02,79.00,86.07,77.260002,82.220001,27049200,82.220001
2015-02-02,76.110001,81.370003,73.449997,78.970001,26614000,78.970001
2015-01-02,78.580002,79.25,73.540001,75.910004,29443000,75.910004
2014-12-01,77.260002,82.169998,74.400002,78.019997,25210100,78.019997
2014-11-03,75.470001,78.269997,72.510002,77.699997,26681700,77.699997
2014-10-01,78.779999,81.160004,70.32,74.989998,48924500,74.989998
2014-09-02,75.010002,79.709999,73.07,79.040001,36045800,79.040001
2014-08-01,72.220001,75.989998,71.550003,74.82,29381100,74.82
2014-07-01,67.580002,76.739998,62.209999,72.650002,48745800,72.650002
2014-06-02,63.23,68.00,61.790001,67.290001,42405300,67.290001
2014-05-01,60.43,64.300003,56.259998,63.299999,55495600,63.299999
2014-04-01,60.459999,63.91,54.66,59.779999,93367300,59.779999
2014-03-03,66.959999,72.589996,57.98,60.240002,62307100,60.240002
2014-02-03,63.029999,71.440002,60.700001,68.459999,61976700,68.459999
2014-01-02,54.830002,63.369999,51.849998,62.57,65833700,62.57
2013-12-02,46.900002,58.580002,46.259998,54.650002,74314700,54.650002
2013-11-01,50.849998,52.09,43.549999,47.009998,69013200,47.009998
2013-10-01,49.970001,54.830002,45.259998,50.209999,99193200,50.209999
2013-09-03,41.84,51.599998,41.439999,50.23,84158900,50.23
2013-08-01,37.299999,42.259998,36.02,41.290001,64214900,41.290001
2013-07-01,24.969999,38.310001,24.15,36.799999,72402000,36.799999
2013-06-03,24.27,25.190001,22.67,24.879999,44255500,24.879999
2013-05-01,27.85,29.07,23.26,24.35,46273600,24.35
2013-04-01,25.629999,28.10,25.15,27.77,35216100,27.77
2013-03-01,27.049999,28.68,24.719999,25.58,37788300,25.58
2013-02-01,31.01,31.02,26.34,27.25,54771900,27.25
2013-01-02,27.440001,32.509998,27.42,30.98,88885500,30.98
2012-12-03,28.00,28.879999,25.15,26.620001,62610300,26.620001
2012-11-01,21.08,28.00,18.870001,28.00,78787600,28.00
2012-10-01,22.08,24.25,18.799999,21.110001,57157900,21.110001
2012-09-04,18.08,23.370001,17.549999,21.66,59164700,21.66
2012-08-01,21.50,22.450001,18.030001,18.059999,52639500,18.059999
2012-07-02,31.25,32.880001,21.610001,21.709999,27446100,21.709999
2012-06-01,28.889999,33.450001,25.52,31.10,32735100,31.10
2012-05-18,42.049999,45.00,26.83,29.60,151461300,29.60
